"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/9/2024","10/9/2024","10/10/2024","QQQ","QQQ 10/9/2024 Call $493.00","STC","1","$0.47","$46.95"
"10/9/2024","10/9/2024","10/10/2024","QQQ","QQQ 10/9/2024 Call $493.00","BTO","1","$0.50","($50.03)"
"10/9/2024","10/9/2024","10/9/2024","","External debit card transfer - account ending in 4760","DCF","","","$25.00"
"10/9/2024","10/9/2024","10/10/2024","IWM","IWM 10/9/2024 Put $219.00","STC","1","$0.34","$33.95"
"10/9/2024","10/9/2024","10/10/2024","IWM","IWM 10/9/2024 Put $219.00","STC","1","$0.34","$33.95"
"10/9/2024","10/9/2024","10/10/2024","IWM","IWM 10/9/2024 Put $219.00","STC","1","$0.34","$33.95"
"10/9/2024","10/9/2024","10/10/2024","IWM","IWM 10/9/2024 Put $219.00","BTO","3","$0.41","($123.09)"
"10/9/2024","10/9/2024","10/10/2024","QQQ","QQQ 10/9/2024 Call $493.00","STC","1","$0.62","$61.95"
"10/9/2024","10/9/2024","10/10/2024","QQQ","QQQ 10/9/2024 Call $493.00","BTO","1","$0.69","($69.03)"
"10/9/2024","10/9/2024","10/10/2024","NVDA","NVDA 10/11/2024 Call $135.00","STC","2","$1.20","$239.92"
"10/9/2024","10/9/2024","10/10/2024","NVDA","NVDA 10/11/2024 Call $135.00","BTO","1","$1.32","($132.03)"
"10/9/2024","10/9/2024","10/10/2024","NVDA","NVDA 10/11/2024 Call $135.00","BTO","1","$1.22","($122.03)"
"10/9/2024","10/9/2024","10/10/2024","GOOG","GOOG 10/11/2024 Call $165.00","STC","1","$0.76","$75.95"
"10/9/2024","10/9/2024","10/10/2024","GOOG","GOOG 10/11/2024 Call $165.00","STC","1","$0.76","$75.95"
"10/9/2024","10/9/2024","10/10/2024","GOOG","GOOG 10/11/2024 Call $165.00","BTO","1","$0.88","($88.03)"
"10/9/2024","10/9/2024","10/10/2024","GOOG","GOOG 10/11/2024 Call $165.00","BTO","1","$0.86","($86.03)"
"10/9/2024","10/9/2024","10/10/2024","IWM","IWM 10/10/2024 Call $219.00","STC","1","$1.15","$114.95"
"10/9/2024","10/9/2024","10/10/2024","IWM","IWM 10/10/2024 Call $219.00","BTO","1","$1.45","($145.03)"
"10/9/2024","10/9/2024","10/10/2024","GOOG","GOOG 10/11/2024 Put $160.00","STC","1","$1.00","$99.95"
"10/9/2024","10/9/2024","10/10/2024","GOOG","GOOG 10/11/2024 Put $160.00","BTO","1","$0.86","($86.03)"
"10/8/2024","10/8/2024","10/9/2024","INTC","INTC 10/11/2024 Call $23.00","STC","1","$0.58","$57.95"
"10/8/2024","10/8/2024","10/9/2024","INTC","INTC 10/11/2024 Call $23.00","BTO","1","$0.46","($46.03)"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/8/2024 Put $488.00","STC","1","$1.92","$191.95"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/8/2024 Put $488.00","BTO","1","$1.41","($141.03)"
"10/8/2024","10/8/2024","10/9/2024","GOOG","GOOG 10/11/2024 Call $167.50","STC","1","$0.98","$97.95"
"10/8/2024","10/8/2024","10/9/2024","GOOG","GOOG 10/11/2024 Call $167.50","BTO","1","$1.08","($108.03)"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/9/2024 Put $486.00","STC","1","$1.43","$142.95"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/9/2024 Put $486.00","BTO","1","$1.64","($164.03)"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/8/2024 Put $487.00","STC","1","$0.88","$87.95"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/8/2024 Put $487.00","BTO","1","$0.99","($99.03)"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/9/2024 Call $490.00","STC","1","$1.14","$113.95"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/9/2024 Call $490.00","BTO","1","$1.33","($133.03)"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/9/2024 Call $489.00","STC","1","$1.77","$176.95"
"10/8/2024","10/8/2024","10/9/2024","QQQ","QQQ 10/9/2024 Call $489.00","BTO","1","$1.21","($121.03)"
"10/7/2024","10/7/2024","10/8/2024","SPY","SPY 10/8/2024 Call $571.00","STC","1","$0.65","$64.95"
"10/7/2024","10/7/2024","10/8/2024","SPY","SPY 10/8/2024 Call $571.00","BTO","1","$0.82","($82.03)"
"10/7/2024","10/7/2024","10/8/2024","IWM","IWM 10/14/2024 Call $220.00","STC","1","$1.66","$165.95"
"10/7/2024","10/7/2024","10/8/2024","AMD","AMD 10/11/2024 Call $172.50","STC","1","$3.75","$374.94"
"10/7/2024","10/7/2024","10/8/2024","AMD","AMD 10/11/2024 Call $172.50","BTO","1","$3.25","($325.03)"
"10/7/2024","10/7/2024","10/8/2024","GOOG","GOOG 10/11/2024 Call $170.00","STC","1","$1.20","$119.95"
"10/7/2024","10/7/2024","10/8/2024","IWM","IWM 10/14/2024 Call $220.00","BTO","1","$1.70","($170.03)"
"10/7/2024","10/7/2024","10/8/2024","SPY","SPY 10/7/2024 Call $572.00","STC","1","$0.81","$80.95"
"10/7/2024","10/7/2024","10/8/2024","SPY","SPY 10/7/2024 Call $572.00","BTO","1","$1.00","($100.03)"
"10/7/2024","10/7/2024","10/8/2024","GOOG","GOOG 10/11/2024 Call $170.00","BTO","1","$1.48","($148.03)"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Call $486.00","STC","1","$1.10","$109.95"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Call $486.00","BTO","1","$1.24","($124.03)"
"10/4/2024","10/4/2024","10/7/2024","GOOG","GOOG 10/4/2024 Call $167.50","STC","1","$0.54","$53.95"
"10/4/2024","10/4/2024","10/7/2024","GOOG","GOOG 10/4/2024 Call $167.50","BTO","1","$0.59","($59.03)"
"10/4/2024","10/4/2024","10/7/2024","AMZN","AMZN 10/4/2024 Put $185.00","STC","1","$1.39","$138.95"
"10/4/2024","10/4/2024","10/7/2024","AMZN","AMZN 10/4/2024 Put $185.00","BTO","1","$1.41","($141.03)"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Call $486.00","STC","1","$0.95","$94.95"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Call $486.00","STC","1","$0.95","$94.95"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Call $486.00","BTO","1","$1.23","($123.03)"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Call $486.00","BTO","1","$1.08","($108.03)"
"10/4/2024","10/4/2024","10/7/2024","AMZN","AMZN 10/4/2024 Put $185.00","STC","1","$1.09","$108.95"
"10/4/2024","10/4/2024","10/7/2024","AMZN","AMZN 10/4/2024 Put $185.00","BTO","1","$0.96","($96.03)"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Put $485.00","STC","1","$2.02","$201.95"
"10/4/2024","10/4/2024","10/7/2024","QQQ","QQQ 10/4/2024 Put $485.00","BTO","1","$1.48","($148.03)"
"10/3/2024","10/3/2024","10/4/2024","TSLA","TSLA 10/4/2024 Call $247.50","STC","1","$0.89","$88.95"
"10/3/2024","10/3/2024","10/4/2024","TSLA","TSLA 10/4/2024 Call $247.50","BTO","1","$0.84","($84.03)"
"10/3/2024","10/3/2024","10/3/2024","","External debit card transfer - account ending in 4760","DCF","","","$70.00"
"10/3/2024","10/3/2024","10/4/2024","AMZN","AMZN 10/11/2024 Call $187.50","STC","1","$1.47","$146.95"
"10/3/2024","10/3/2024","10/4/2024","NVDA","NVDA 10/4/2024 Call $124.00","STC","1","$0.93","$92.95"
"10/3/2024","10/3/2024","10/4/2024","AMZN","AMZN 10/11/2024 Call $187.50","BTO","1","$1.24","($124.03)"
"10/3/2024","10/3/2024","10/4/2024","NVDA","NVDA 10/4/2024 Call $124.00","BTO","1","$1.17","($117.03)"
"10/3/2024","10/3/2024","10/4/2024","GOOG","GOOG 10/4/2024 Put $165.00","STC","1","$0.70","$69.95"
"10/3/2024","10/3/2024","10/4/2024","GOOG","GOOG 10/4/2024 Put $165.00","BTO","1","$0.91","($91.03)"
"10/3/2024","10/3/2024","10/4/2024","XOM","XOM 10/4/2024 Call $123.00","STC","1","$0.84","$83.95"
"10/3/2024","10/3/2024","10/4/2024","JPM","JPM 10/4/2024 Call $207.50","STC","1","$0.50","$49.95"
"10/3/2024","10/3/2024","10/4/2024","XOM","XOM 10/4/2024 Call $123.00","BTO","1","$1.02","($102.03)"
"10/3/2024","10/3/2024","10/4/2024","JPM","JPM 10/4/2024 Call $207.50","BTO","1","$0.64","($64.03)"
"10/3/2024","10/3/2024","10/4/2024","GOOG","GOOG 10/4/2024 Call $167.50","STC","2","$0.80","$159.92"
"10/3/2024","10/3/2024","10/4/2024","IWM","IWM 10/4/2024 Call $218.00","STC","1","$1.43","$142.95"
"10/3/2024","10/3/2024","10/4/2024","IWM","IWM 10/4/2024 Call $218.00","BTO","1","$1.64","($164.03)"
"10/3/2024","10/3/2024","10/4/2024","GOOG","GOOG 10/4/2024 Call $167.50","BTO","1","$1.03","($103.03)"
"10/3/2024","10/3/2024","10/4/2024","GOOG","GOOG 10/4/2024 Call $167.50","BTO","1","$1.02","($102.03)"
"10/2/2024","10/2/2024","10/3/2024","NVDA","NVDA 10/4/2024 Call $120.00","STC","1","$1.35","$134.95"
"10/2/2024","10/2/2024","10/3/2024","NVDA","NVDA 10/4/2024 Call $120.00","BTO","1","$1.42","($142.03)"
"10/2/2024","10/2/2024","10/3/2024","IWM","IWM 10/3/2024 Put $217.00","STC","2","$0.89","$177.92"
"10/2/2024","10/2/2024","10/3/2024","IWM","IWM 10/3/2024 Put $217.00","BTO","1","$1.09","($109.03)"
"10/2/2024","10/2/2024","10/3/2024","IWM","IWM 10/3/2024 Put $217.00","BTO","1","$1.04","($104.03)"
